ticker,date,ev,evebit,evebitda,marketcap,pb,pe,ps
FIVN,2/16/2024,5950.6,-82.6,-445.7,5282.8,10.7,-63.6,6
FIX,2/16/2024,8976.2,24.9,20.3,8875.1,7.4,30.9,1.8
FIXX,2/16/2024,45.5,-0.3,-0.4,46.3,0.5,-0.4,23.6
FIZZ,2/16/2024,4441.8,20.6,17.9,4644.4,9.9,28.3,3.9
FKWL,2/16/2024,28.9,-8.1,-12.9,34.1,0.9,-14.3,0.7
FL,2/16/2024,5653.8,36.5,16,2906.8,0.9,37.3,0.4
FLEX,2/16/2024,13057.2,16.7,9.1,11885.2,2,15.8,0.4
FLFV,2/16/2024,88.3,32.5,32.5,86.8,-17.7,59.9,
FLGC,2/16/2024,6,-0.1,-0.1,7.7,0.5,-0.1,0.1
FLGT,2/16/2024,671.5,-11,-26.9,752.7,0.6,-11.9,2.6
FLIC,2/16/2024,608.8,17.4,14.9,256.9,0.7,8.5,2.5
FLJ,2/16/2024,11.7,-1.2,-1.2,5.6,-0.1,-0.6,
FLL,2/16/2024,602.6,540.4,23.6,171.6,1.9,-8.8,0.8
FLNC,2/16/2024,3020.7,-47.2,-57.1,3422.6,8.2,-55.5,1.5
FLNG,2/16/2024,2842.8,12.4,9.4,1441.2,1.7,12,3.9
FLNT,2/16/2024,52.4,-0.4,-0.5,36.6,1,-0.3,0.1
FLO,2/16/2024,6028.2,28.7,16.9,4733.3,3.4,34.7,0.9
FLR,2/16/2024,6193.1,12.8,11.1,7171.1,3.8,70.3,0.5
FLS,2/16/2024,6646.7,25.3,19.1,5628.9,3,22.9,1.3
FLT,2/16/2024,24279.6,15,12.4,19612.1,6.4,20.6,5.3
FLUX,2/16/2024,99.9,-22.9,-36.4,87.6,11.9,-15,1.4
FLWS,2/16/2024,631.5,-12,440.4,625.6,1.2,-10.1,0.3
FLXS,2/16/2024,256,19.9,15,172,1.2,11.1,0.4
FLYW,2/16/2024,2138.5,-238.5,360.9,2776.7,3.6,-252.8,7.4
FLYX,2/16/2024,991.8,56,18.3,641.1,-19,-1284.8,1.3
FMAO,2/16/2024,478.7,15.8,13.3,303.4,1,12.4,3.1
FMBH,2/16/2024,1079.4,11.9,10.4,739.5,1,10.3,2.9
FMC,2/16/2024,10417.4,12.8,10.5,6529.9,2,13.1,1.3
FMNB,2/16/2024,528.5,9.3,8.2,533.9,1.7,11,3.3
FMS,2/16/2024,24410.3,20,7.8,12387.9,0.8,26.2,0.6
FMST,2/16/2024,14.7,-8,18.7,14.9,1.5,-7.6,
FMX,2/16/2024,60266.1,19.9,12.7,47733.5,3.3,36,1.3
FN,2/16/2024,6832.3,24.9,21.3,7141.9,4.4,28.1,2.6
FNA,2/16/2024,1160.9,-18.4,-24.1,1152.9,6,-17.2,5.6
FNB,2/16/2024,7237.6,10.3,9.3,4840.6,0.8,8.6,3.1
FNCB,2/16/2024,228.4,12.9,12,118.7,1,8.2,2.2
FNCH,2/16/2024,6,-0.1,-0.1,4,0.2,0,34.8
FND,2/16/2024,13409,36.2,24,11822.9,6.3,42.5,2.7
FNF,2/16/2024,15140.4,14.9,10.2,14258.4,2.3,21.8,1.3
FNGR,2/16/2024,132.1,-26.5,-26.8,134,10.6,-24.9,3.3
FNKO,2/16/2024,755.7,-17,65.1,396.2,1.7,-2.1,0.3
FNLC,2/16/2024,288.7,7.4,7.1,274,1.2,8.6,3.3
FNV,2/16/2024,19652.3,24.8,18.3,20949.4,3.1,30.8,16.9
FNVT,2/16/2024,102,32.5,32.5,101.5,-51.1,32.3,
FNWB,2/16/2024,361.4,21.5,19.6,142.5,0.9,10.3,1.9
FNWD,2/16/2024,179.8,16.5,10.4,103.1,0.9,9.5,1.5
FOA,2/16/2024,33099.8,-166.7,-260.6,86.2,0.5,-0.4,1.7
FOLD,2/16/2024,4226.1,-30.2,-31.8,4035.1,30.3,-23.2,10.8
FONR,2/16/2024,137.1,8.1,5.3,154.5,0.9,12.7,1.5
FOR,2/16/2024,1830.2,7.5,7.4,1583.8,1.1,8.6,1
FORA,2/16/2024,100.3,14,12.2,81,3,13.1,3.5
FORD,2/16/2024,8,-2.3,-2.5,7,3,-1.9,0.2
FORL,2/16/2024,72.7,-12116.7,-12116.7,72.6,85.3,-12100,
FORM,2/16/2024,3190.3,-337.7,86,3254.6,3.9,-452.9,4.9
FORR,2/16/2024,374.8,56.2,8.7,400.7,1.7,192.4,0.8
FORTY,2/16/2024,1371.3,9.6,4.9,1069.1,1.8,16.8,0.4
FOSL,2/16/2024,380.7,-3.4,-25.4,54.6,0.2,-0.4,0
FOUR,2/16/2024,7378.1,55.9,22.2,6387.8,16,62.8,2.7
FOXA,2/16/2024,18778.2,14,10.8,14455.2,1.4,17.3,1
FOXF,2/16/2024,2945.3,14.1,11.1,2845.9,2.3,16.8,1.8
FOXO,2/16/2024,7.1,-0.1,-0.1,3.1,-0.3,0,6.8
FPAY,2/16/2024,127.3,7.5,1.5,24.9,0.9,-15.4,0.2
FPH,2/16/2024,874.5,24.7,15.7,472,0.7,12.8,4.3
FPI,2/16/2024,970.4,23.2,19.6,555.6,1.1,32.6,9.6
FR,2/16/2024,9446.8,26.4,19.3,7244.3,2.8,26.4,11.8
FRAF,2/16/2024,175.2,10.9,9.8,114.5,1,8.3,1.7
FRD,2/16/2024,161.3,5.9,5.3,119.3,1,6.4,0.2
FREE,2/16/2024,631.4,-17.3,-56.3,203.1,0.8,-2.2,0.4
FRES,2/16/2024,4.2,-0.2,-0.3,4.2,0.3,-0.2,2.5
FREY,2/16/2024,-55.2,2.5,2.9,254.3,0.4,-11.3,
FRGE,2/16/2024,212.9,-2.3,-2.6,359.3,1.3,-4,5.3
FRGT,2/16/2024,2.6,-0.4,-0.4,1.3,0.4,-0.2,0.1
FRHC,2/16/2024,6933.5,8.2,8,4689.8,4.5,14,3.4
FRLA,2/16/2024,73.3,50.1,50.1,69.4,-8.6,111.8,
FRLN,2/16/2024,2.7,-0.1,-0.1,28.2,0.9,-0.6,45.3
FRME,2/16/2024,2608.9,8.8,8.5,2058.1,1,8.2,3.1
FRO,2/16/2024,7348.9,8,10.7,5376.3,2.4,6.5,2.8
FROG,2/16/2024,4703.2,-86.3,-152.9,4765.7,7,-77.8,13.6
FRPH,2/16/2024,586.1,52.5,26.1,574.1,1.4,110.9,13.9
FRPT,2/16/2024,4410.8,-111.2,277.2,4323.4,4.6,-83.4,6
FRST,2/16/2024,317.7,34.9,17.1,312.2,0.8,61.2,2.3
FRSX,2/16/2024,-0.9,0.1,0.1,11.6,0.8,-0.6,25.3
FRT,2/16/2024,12770.7,31.5,17.6,8333.8,2.8,36.4,7.4
FRZA,2/16/2024,3.5,-0.6,-0.6,8.8,0.5,-1.5,463.2
FSBC,2/16/2024,263.7,3.8,3.7,418.5,1.5,8.3,3.6
FSBW,2/16/2024,347,8.1,6.2,266.6,1.1,7.9,2
FSEA,2/16/2024,107.1,-27.7,-31.6,44.4,0.7,-17.1,3.3
FSFG,2/16/2024,487.1,85.9,59.4,115.3,0.7,18.5,1.4
FSI,2/16/2024,23,6.4,4.3,24,0.7,6.5,0.6
FSK,2/16/2024,13502.3,11.9,11.9,5657.3,0.8,8.4,3.1
FSLR,2/16/2024,15778.4,30.5,19.6,16771.9,2.7,35.4,5.3
FSLY,2/16/2024,2348.9,-15.5,-41.9,2054,2.1,-13.1,4.2
FSM,2/16/2024,1051.3,-11.2,10.6,870.3,0.7,-7.8,1.2
FSP,2/16/2024,625.7,-20.5,21.3,244.1,0.3,-4.5,1.6
FSR,2/16/2024,808.8,-1.8,-2.2,256.3,0.8,-0.5,3.5
FSS,2/16/2024,5219.9,25.3,19.7,4870.6,5.1,33.5,2.9
FSTR,2/16/2024,346.8,856.3,21.4,265.8,1.9,-6.3,0.5
FSV,2/16/2024,8215.3,35,22.9,7376.4,7.3,55.7,1.7
FTAI,2/16/2024,7588.2,24.8,16.3,5361.7,56.7,46.5,4.7
FTCI,2/16/2024,41.3,-0.7,-0.7,71.5,1,-1.2,0.5
FTDR,2/16/2024,2931.7,11.1,9.8,2638.7,15.4,15.4,1.5
FTEK,2/16/2024,21.2,-15.9,-22.5,34.2,0.8,-24.4,1.2
FTEL,2/16/2024,33.4,-21.9,-22.1,33,5.1,-20.7,6.9
FTFT,2/16/2024,-13.7,1.2,1.2,18.2,0.3,-1.6,0.6
FTHM,2/16/2024,58.3,-2.3,-3.3,50.3,0.9,-2,0.1
FTI,2/16/2024,10125.3,49,17.4,8587.3,2.8,-251.8,1.2
FTII,2/16/2024,96.3,24.6,24.6,93,-14.9,33.1,
FTK,2/16/2024,99,11.6,8.5,89.6,0.9,25,0.5
FTLF,2/16/2024,105.7,15.8,15.7,102.7,4.1,23.9,2.3
FTNT,2/16/2024,51391.4,41.8,38.4,52586.4,709.7,45.7,10.2
FTRE,2/16/2024,4740.8,20,13.4,3162.2,1.9,16.4,1
FTS,2/16/2024,41178.8,28.5,15.9,19265.4,1.2,17.1,2.2
FTV,2/16/2024,31650.8,28.8,20.4,29632.9,2.9,35.8,4.9
FUBO,2/16/2024,788.2,-2.1,-2.4,606.1,1.8,-1.6,0.5
FUL,2/16/2024,5849.3,15.7,11,4190.3,2.4,28.9,1.2
FULC,2/16/2024,576.3,-5.8,-6,596,2.3,-6,227.6
FULT,2/16/2024,4527.5,12.4,11.4,2577.8,1,8.8,2.5
FUN,2/16/2024,4450.1,14.2,9.4,2168.2,-3.7,17.4,1.2
FUNC,2/16/2024,228.1,8.7,7.6,142.1,0.9,7,1.9
FURY,2/16/2024,41.7,3.7,3.6,48.9,0.4,4.3,
FUSB,2/16/2024,33.1,3,2.6,59.6,0.7,7.1,1.5
FUSN,2/16/2024,902.8,-10.4,-10.8,878.3,4.7,-9.6,397.8
FUTU,2/16/2024,1539,2.3,3.5,7162.2,2.4,12.8,5.6
FUV,2/16/2024,20.1,-0.4,-0.5,5.9,0.8,-0.1,0.9
FVCB,2/16/2024,195.6,11.7,11.3,213.4,1,15.5,4
FVRR,2/16/2024,1393.1,-88.6,-154.3,1061,3.3,-457.5,3
FWBI,2/16/2024,0.4,0,0,3.5,1.1,-0.2,
FWONA,2/16/2024,33991.5,17.1,11.4,20440.5,1.3,16.8,1.7
FWRD,2/16/2024,1285.6,8.2,6,1007.7,1.5,9.3,0.6
FWRG,2/16/2024,1981.6,51.7,20.9,1460.7,2.6,65.6,1.8
FXNC,2/16/2024,83.2,4.4,4.1,119,1.1,7.8,2.1
FYBR,2/16/2024,15779.1,21.1,7.5,5454.1,1,32.7,0.9
G,2/16/2024,7494.3,12.1,10.3,6514.5,3.2,15.2,1.5
GABC,2/16/2024,1130.4,10.5,9.6,976.6,1.8,11,3.9
GAIA,2/16/2024,79.2,-21.4,6.1,68.8,0.8,-15.7,0.9
GAIN,2/16/2024,930.3,10.4,10.4,520.4,1.1,7.7,6.2
GALT,2/16/2024,148.4,-3.4,-3.4,107.6,-2,-2.4,
GAMB,2/16/2024,321.4,32.5,25.1,346.5,3.2,46.3,3.6
GAMC,2/16/2024,100,25.8,25.8,98.7,-7.4,35.4,
GAME,2/16/2024,28.4,-1.5,-1.8,20.4,0.6,-1.1,0.5
GAN,2/16/2024,77.4,-0.5,-0.5,71.1,35.2,-0.4,0.5
GANX,2/16/2024,59,-2.7,-2.7,62.2,8.5,-2.8,1130.9
GAQ,2/16/2024,166.9,19.9,19.9,166.2,-31.8,19.8,
GASS,2/16/2024,317.5,5.1,3.7,263.6,0.5,5.2,1.7
GATO,2/16/2024,380.8,59.4,58.3,414.3,1.2,78.6,
GATX,2/16/2024,11673,20.1,12,4497.9,2,17.4,3.2
GAU,2/16/2024,149.6,5.7,5.7,204.7,1,7.8,
GB,2/16/2024,1566.6,18.8,12.2,895.3,72.4,90.2,2.1
GBBK,2/16/2024,77,14.1,14.1,77.5,-61.8,19,
GBCI,2/16/2024,6946.8,22.9,20.4,4172.5,1.5,16.8,5
GBDC,2/16/2024,5598.2,11.9,11.9,2700.4,1.1,8.7,4.3
GBIO,2/16/2024,121.8,-1,-1,141.1,0.6,-1.1,46.6
GBLI,2/16/2024,351.6,13.5,10.7,384.6,0.6,17.9,0.7
GBNH,2/16/2024,114.1,-2.3,-2.8,8,-0.1,-0.1,0.1
GBNY,2/16/2024,42.8,-36.8,-276.1,24.6,0.7,-26.9,2.2
GBR,2/16/2024,4.8,165.5,114.3,5.3,1.2,182.8,30.8
GBTG,2/16/2024,3784.5,65.3,15.1,2783.5,2.2,-66.3,1.2
GBX,2/16/2024,2949.1,12.4,8.6,1511.6,1.2,13.7,0.4
GCBC,2/16/2024,563.1,18.5,18,560.2,2.9,21,8.2
GCI,2/16/2024,1548,14.1,5.6,335,1,12,0.1
GCMG,2/16/2024,2028,43.3,34.6,1655.1,-67,119,3.9
GCO,2/16/2024,999.8,-582.3,22.4,371.1,0.7,-73.2,0.2
GCT,2/16/2024,1362.8,15.4,14.5,1413.2,5.6,19.9,2.4
GCTK,2/16/2024,-1.7,0.4,0.4,5,0.9,-1,
GD,2/16/2024,81169.2,18.8,16.4,73821.2,3.5,22.3,1.7
GDC,2/16/2024,10.7,-1,-1,10.6,1.6,-1,24.4
GDDY,2/16/2024,19109.8,36.1,26.9,15521.5,-15.9,43.8,3.7
GDEN,2/16/2024,1623.2,3.8,3.1,1072,2,3.9,1
GDEV,2/16/2024,375.5,-13.9,-18,434.3,-3.9,-12.6,0.9
GDHG,2/16/2024,32.1,3,2.3,26.1,0.4,4,0.8
GDOT,2/16/2024,-236.1,-4.7,-1.8,445.3,0.6,12.3,0.3
GDRX,2/16/2024,2536.2,139.7,24.9,2619.6,3,174.3,3.6
GDS,2/16/2024,6970.5,54.1,11.4,1309.1,0.4,-6.9,1
GDST,2/16/2024,75.8,44.5,44.5,74.3,-16.3,66.6,
GDTC,2/16/2024,20.3,-6.5,-7.2,27.7,2.8,-8.7,
GDYN,2/16/2024,818.7,-443.3,88.7,1061.3,2.8,-93.4,3.4
GE,2/16/2024,166332.9,14.1,12,162335.9,5.9,17.7,2.4
GECC,2/16/2024,219.9,8.6,8.6,81.7,0.8,5.9,2.4
GEF,2/16/2024,5255.8,9.2,6.2,2896.3,1.5,8.1,0.6
GEG,2/16/2024,76.7,5.7,5.3,61.4,0.9,6.9,5.6
GEHC,2/16/2024,46107.8,16.2,13.3,39169.8,5.5,28.3,2
GEL,2/16/2024,4930.9,12.6,7.2,1366.7,2.5,25.1,0.4
GEN,2/16/2024,22414.4,20.7,14,13604.4,5.6,9.7,3.6
GENC,2/16/2024,224,11.3,9.9,242.3,1.3,15.6,2.3
GENE,2/16/2024,-4.4,0.6,0.6,0.4,0.1,-0.1,0.1
GENI,2/16/2024,1558.1,-9.2,-17.3,1635.2,2.8,-9.4,4.2
GENK,2/16/2024,377.6,34.6,21.2,287.3,45.7,27.9,1.8
GEO,2/16/2024,3235.2,8.4,6.3,1542.3,1.2,12.5,0.6
GEOS,2/16/2024,141.3,5.5,3.4,159.5,1.1,6.4,1.1
GERN,2/16/2024,1116.4,-6.7,-6.7,1091.6,3.8,-6.2,3443.5
GES,2/16/2024,2358.1,12,9.1,1343,2.6,7.5,0.5
GETR,2/16/2024,84.2,-0.8,-0.9,24.6,1.8,-0.2,0.4
GETY,2/16/2024,3085.1,31.9,16.7,1781.2,3.2,-41.7,1.9
GEVO,2/16/2024,-118.5,1.7,2.2,212.7,0.4,-2.9,15.9
GFAI,2/16/2024,21.9,-0.9,-1.2,21.9,0.9,-0.8,0.6
GFF,2/16/2024,4981.8,24.1,18.4,3466.4,12.2,48.8,1.3
GFI,2/16/2024,12800.1,10.4,10.4,12096,2.9,17,2.8
GFL,2/16/2024,20317.9,43.4,13,13678.3,2.6,-153.1,2.5
GFR,2/16/2024,589.8,6.7,4.3,374.1,0.7,3.9,0.6
GFS,2/16/2024,29504.1,27.5,11.7,29519.1,2.7,28.9,4
GGB,2/16/2024,9254.2,2.8,2.4,7095.2,0.8,3.2,0.4
GGE,2/16/2024,107.8,-1,-1,6.5,0.3,-0.1,3.6
GGG,2/16/2024,14401,22.5,20.2,14878.7,6.8,28.5,6.8
GGR,2/16/2024,764.4,-11.3,25.1,467.1,1.9,-6.1,1.3
GH,2/16/2024,3520.1,-8.2,-9.3,2645.4,11.6,-6.1,4.9
GHC,2/16/2024,4309.2,14.1,5.9,3310.5,0.9,20.9,0.8
GHG,2/16/2024,458.5,16.3,5.3,329,1.6,18.7,1.9
GHI,2/16/2024,1403.7,14,13.7,386.1,1.3,7.6,3.8
GHIX,2/16/2024,694.3,27.1,27.1,693.7,-29.1,30.4,
GHLD,2/16/2024,1937.4,38.8,22.9,915.8,0.7,23.5,1.3
GHM,2/16/2024,257.1,61.8,26.9,261.2,2.5,95.5,1.5
GHRS,2/16/2024,330.7,-8,-8.1,416.2,1.8,-10.2,
GHSI,2/16/2024,3,-0.3,-0.3,10.7,1.4,-1.1,0.9
GIA,2/16/2024,97.8,-23.2,-23.2,95.3,-8.3,-16,
GIB,2/16/2024,28115.2,17,13.8,26720.9,4.2,22.3,2.5
GIC,2/16/2024,1777.7,19.2,18.1,1714,7,24.8,1.4
GIFI,2/16/2024,47.8,-1.5,-1.8,74.1,1,-2.4,0.5
GIGM,2/16/2024,-23.9,23.1,8.8,14.9,0.3,-14.4,3.3
GIII,2/16/2024,1954,-36.9,58.2,1450,1,-12.7,0.5
GIL,2/16/2024,7250.8,13,10.7,6232.7,3.1,13.4,2
